a,b,cos,inliers,n_photos,photo_a,photo_b
1014298959,1014689584,0.9663348197937012,608,2,1014298959/1.jpg,1014689584/1.jpg
1012500981,1013424803,0.9978194236755371,605,5,1012500981/1.jpg,1013424803/2.jpg
1014746814,1015827896,0.987372875213623,602,1,1014746814/0.jpg,1015827896/0.jpg
1014193846,1014382781,0.9973746538162231,595,1,1014193846/0.jpg,1014382781/3.jpg
1014899904,1015207731,0.9886119365692139,595,1,1014899904/2.jpg,1015207731/0.jpg
1015793186,1015906714,0.9934079647064209,594,2,1015793186/3.jpg,1015906714/2.jpg
1015806638,1015905522,0.9971319437026978,593,2,1015806638/1.jpg,1015905522/2.jpg
1013658417,1015736535,0.9744833707809448,593,3,1013658417/0.jpg,1015736535/0.jpg
1014840289,1015282535,0.9993882179260254,584,3,1014840289/3.jpg,1015282535/3.jpg
1015901917,672172256,0.9591845273971558,575,1,1015901917/2.jpg,672172256/0.jpg
1015907319,1015921796,0.9166668057441711,575,1,1015907319/2.jpg,1015921796/2.jpg
1014968568,1015259296,0.962742030620575,573,1,1014968568/1.jpg,1015259296/3.jpg
1015753315,1015867185,0.9989499449729919,569,3,1015753315/2.jpg,1015867185/2.jpg
1015909243,1015914536,0.9974753260612488,568,3,1015909243/0.jpg,1015914536/3.jpg
1015805918,1015913698,0.9993581771850586,567,2,1015805918/1.jpg,1015913698/2.jpg
1011035753,1014482550,0.9971730709075928,556,4,1011035753/3.jpg,1014482550/3.jpg
1014487043,1015855815,0.9953869581222534,544,2,1014487043/0.jpg,1015855815/0.jpg
1015581830,1015913698,0.9899420738220215,543,3,1015581830/2.jpg,1015913698/2.jpg
1010152757,1010974256,0.9994169473648071,542,1,1010152757/0.jpg,1010974256/0.jpg
1015771209,1015775604,0.9835879802703857,542,1,1015771209/3.jpg,1015775604/0.jpg
1015294291,1015367428,0.9825336933135986,542,2,1015294291/2.jpg,1015367428/2.jpg
1006639429,1009981625,0.9983356595039368,538,4,1006639429/2.jpg,1009981625/2.jpg
1015800433,1015804947,0.9995350241661072,534,4,1015800433/3.jpg,1015804947/3.jpg
1005017315,1015751597,0.9904429912567139,533,3,1005017315/0.jpg,1015751597/0.jpg
1015581830,1015805918,0.9893243312835693,529,2,1015581830/2.jpg,1015805918/1.jpg
1003621552,1014951491,0.9967254400253296,526,2,1003621552/3.jpg,1014951491/3.jpg
1003621552,1015108467,0.9946229457855225,524,2,1003621552/3.jpg,1015108467/1.jpg
1003776912,1003806678,0.9801619648933411,523,3,1003776912/3.jpg,1003806678/1.jpg
1015115279,1015315268,0.9986555576324463,519,2,1015115279/3.jpg,1015315268/2.jpg
1015626379,1015762706,0.9908109903335571,519,1,1015626379/0.jpg,1015762706/0.jpg
1015353286,1015353415,0.9980360269546509,518,2,1015353286/3.jpg,1015353415/3.jpg
1011531430,1015546815,0.9921202659606934,518,1,1011531430/2.jpg,1015546815/1.jpg
1015303120,1015446228,0.996603786945343,517,6,1015303120/0.jpg,1015446228/0.jpg
1015397008,1015908620,0.9983468651771545,515,3,1015397008/0.jpg,1015908620/2.jpg
1015495009,1015763370,0.9979594945907593,511,1,1015495009/0.jpg,1015763370/1.jpg
1015628566,1015632041,0.9985213279724121,510,3,1015628566/2.jpg,1015632041/0.jpg
1015801188,1015807067,1.0000238418579102,506,4,1015807067/0.jpg,1015807067/0.jpg
1015817217,1015844183,0.9935663938522339,500,1,1015817217/2.jpg,1015844183/0.jpg
1015798518,1015824093,0.9971300959587097,498,1,1015663208/4.jpg,1015824093/2.jpg
1001270229,1015151299,0.9852578639984131,498,2,1001270229/2.jpg,1015151299/1.jpg
1015663208,1015798518,0.9995825886726379,497,4,1015663208/3.jpg,1015798518/2.jpg
1015791428,1015883009,0.9958712458610535,495,2,1015791428/2.jpg,1015883009/2.jpg
1015793261,1015793764,1.0000042915344238,492,2,1015793261/1.jpg,1015793261/1.jpg
1015817210,1015817217,0.9997515678405762,490,1,1015817210/3.jpg,1015817217/0.jpg
1015799240,1015805115,0.9999840259552002,488,4,1015799240/3.jpg,1015805115/3.jpg
1015701537,1015753315,0.9989778995513916,483,3,1015701537/0.jpg,1015753315/1.jpg
1015730986,1015733709,0.9988803267478943,482,4,1015730986/1.jpg,1015733709/1.jpg
1015340408,1015406673,0.9993095397949219,480,4,1015340408/2.jpg,1015406673/2.jpg
1015589949,1015896956,0.9995551109313965,479,2,1015589949/2.jpg,1015896956/3.jpg
1015599305,1015701537,0.9990658760070801,478,3,1015599305/1.jpg,1015701537/3.jpg
1015766658,1015911072,1.000000238418579,476,6,1015766658/2.jpg,1015766658/2.jpg
1014564972,1015226370,0.994428277015686,474,3,1014564972/2.jpg,1015226370/1.jpg
1015632041,1015906424,0.9980112314224243,472,2,1015632041/2.jpg,1015906424/3.jpg
1009378775,1010967560,0.9875369668006897,471,4,1009378775/1.jpg,1010967560/2.jpg
1015765157,1015766952,0.9998559951782227,468,3,1015765157/2.jpg,1015766952/2.jpg
1015807119,1015807123,1.0000125169754028,466,2,1015807119/0.jpg,1015807119/0.jpg
1015467665,1015473913,0.9984117746353149,459,2,1015467665/1.jpg,1015473913/0.jpg
1015568167,1015705534,0.9975316524505615,456,4,1015568167/2.jpg,1015705534/3.jpg
1014056017,1015815433,0.9959763288497925,453,5,1014056017/1.jpg,1015815433/3.jpg
